"","iso3","country","nutrient","units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"254","BMU","Bermuda","Calcium","mg/p/d","High",2030,0,0,0,0
"255","BMU","Bermuda","Iron","mg/p/d","Base",2030,0,0,0,0
"256","BMU","Bermuda","Iron","mg/p/d","High",2030,0,0,0,0
"257","BMU","Bermuda","Omega-3 fatty acids","g/p/d","Base",2030,0,0,0,0
"258","BMU","Bermuda","Omega-3 fatty acids","g/p/d","High",2030,0,0,0,0
"259","BMU","Bermuda","Protein","g/p/d","Base",2030,0,0,0,0
"260","BMU","Bermuda","Protein","g/p/d","High",2030,0,0,0,0
"261","BMU","Bermuda","Vitamin A","mg/p/d retinol","Base",2030,0,0,0,0
"262","BMU","Bermuda","Vitamin A","mg/p/d retinol","High",2030,0,0,0,0
"263","BMU","Bermuda","Vitamin B12","ug/p/d","Base",2030,0,0,0,0
"264","BMU","Bermuda","Vitamin B12","ug/p/d","High",2030,0,0,0,0
